Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
490,5000675,5005657,5006357,0.700000,0.000571,4398,-25.065497,7047.100000,45148.100000
491,5006357,5012822,5013441,0.620000,0.000645,4346,-28.449996,7054.270000,45219.300000
492,5013441,5019067,5019607,0.540000,0.000619,4114,-27.313304,7060.510000,45281.500000
493,5019607,5025982,5026437,0.450000,0.000638,4413,-28.235847,7067.430000,45350.900000
494,5026437,5031915,5032388,0.470000,0.000593,4344,-26.208158,7073.360000,45410.100000
495,5032388,5038415,5039036,0.620000,0.000620,4782,-27.514200,7079.860000,45474.600000
496,5039036,5045125,5045943,0.820000,0.000622,4890,-27.610684,7086.570000,45542.600000
497,5045943,5051175,5051784,0.610000,0.000581,4299,-25.795628,7092.620000,45602.500000
498,5051784,5057444,5058056,0.610000,0.000600,4497,-26.691909,7098.890000,45664.800000
499,5058056,5063530,5064075,0.550000,0.000586,4396,-26.086274,7104.970000,45725.300000
500,5064075,5069965,5070579,0.610000,0.000614,4374,-27.415406,7111.410000,45789.700000
501,5070579,5076514,5077037,0.520000,0.000610,4686,-27.290265,7117.960000,45855.000000
502,5077037,5083024,5083588,0.560000,0.000624,4534,-27.959084,7124.470000,45919.800000
503,5083588,5088993,5089589,0.590000,0.000604,4521,-27.055693,7130.440000,45979.500000
504,5089589,5095441,5095960,0.510000,0.000612,4547,-27.502375,7136.890000,46043.800000
505,5095960,5101744,5102323,0.580000,0.000617,4339,-27.749394,7143.190000,46106.600000
506,5102323,5108050,5108622,0.580000,0.000610,4584,-27.458992,7149.490000,46169.700000
507,5108622,5114367,5114986,0.620000,0.000613,4397,-27.660740,7155.810000,46232.400000
508,5114986,5120852,5121461,0.610000,0.000637,4056,-28.796019,7162.300000,46297.100000
509,5121461,5127599,5128202,0.610000,0.000633,4612,-28.661833,7169.040000,46364.600000
510,5128202,5134412,5134969,0.550000,0.000635,4622,-28.798751,7175.860000,46432.700000
511,5134969,5140201,5140687,0.480000,0.000589,4042,-26.669688,7181.650000,46490.300000
512,5140687,5146375,5147012,0.640000,0.000606,4626,-27.526671,7187.820000,46552.700000
513,5147012,5152108,5152607,0.500000,0.000584,4067,-26.524397,7193.550000,46609.100000
514,5152607,5158658,5159185,0.530000,0.000628,4850,-28.625445,7200.100000,46674.500000
515,5159185,5164901,5165456,0.550000,0.000622,4393,-28.375943,7206.350000,46737.900000
516,5165456,5171510,5171973,0.470000,0.000638,4495,-29.152180,7212.950000,46802.700000
517,5171973,5178031,5178537,0.500000,0.000628,4527,-28.716296,7219.480000,46867.700000
518,5178537,5184581,5185066,0.480000,0.000622,4704,-28.491520,7226.030000,46933.400000
519,5185066,5191463,5191944,0.480000,0.000649,4640,-29.811935,7232.910000,47001.900000
520,5191944,5198056,5198674,0.620000,0.000630,4851,-28.939241,7239.500000,47067.600000
521,5198674,5204236,5204785,0.550000,0.000617,4348,-28.388563,7245.680000,47129.500000
522,5204785,5211073,5211648,0.570000,0.000644,4705,-29.696000,7252.520000,47197.500000
523,5211648,5217994,5218432,0.440000,0.000644,4609,-29.733814,7259.440000,47266.500000
524,5218432,5224160,5224744,0.590000,0.000623,4711,-28.778985,7265.600000,47328.100000
525,5224744,5230652,5231231,0.580000,0.000639,4466,-29.568129,7272.100000,47393.000000
526,5231231,5237002,5237472,0.470000,0.000609,4576,-28.213495,7278.450000,47456.300000
527,5237472,5243411,5243880,0.460000,0.000642,4513,-29.820850,7284.860000,47520.400000
528,5243880,5249594,5250212,0.620000,0.000637,4489,-29.632609,7291.040000,47582.500000
529,5250212,5255837,5256337,0.500000,0.000637,4362,-29.663870,7297.280000,47644.900000
